wave(air/A)  wave(vac/A)  f1     f2
  8093.579    8095.805    5-1    P2f(5.5)
  8093.780    8096.006    5-1    P2e(5.5)
  8102.239    8104.467    5-1    P1e(6.5)
  8103.761    8105.989    5-1    P1f(6.5)
  8138.962    8141.200    5-1    P2f(6.5)
  8139.264    8141.502    5-1    P2e(6.5)
  8146.508    8148.748    5-1    P1e(7.5)
  8147.162    8149.402    5-1    P1f(7.5)
  8188.216    8190.467    5-1    P2f(7.5)
  8188.630    8190.881    5-1    P2e(7.5)
  8194.849    8197.102    5-1    P1e(8.5)
  8195.645    8197.898    5-1    P1f(8.5)
  8241.457    8243.723    5-1    P2f(8.5)
  8241.990    8244.256    5-1    P2e(8.5)
  8247.340    8249.607    5-1    P1e(9.5)
  8248.288    8250.555    5-1    P1f(9.5)
  8278.267    8280.543    6-2    R1f(4.5)
  8278.330    8280.606    6-2    R1e(4.5)
  8278.570    8280.846    6-2    R1f(5.5)
  8278.607    8280.883    6-2    R1e(5.5)
  8279.940    8282.216    6-2    R2e(4.5)
  8280.037    8282.313    6-2    R2f(4.5)
  8280.988    8283.264    6-2    R2e(3.5)
  8281.073    8283.349    6-2    R2f(3.5)
  8281.645    8283.921    6-2    R1f(3.5)
  8281.719    8283.996    6-2    R1e(3.5)
  8282.662    8284.939    6-2    R1e(6.5)
  8282.665    8284.942    6-2    R1f(6.5)
  8283.122    8285.399    6-2    R2e(5.5)
  8283.217    8285.494    6-2    R2f(5.5)
  8286.369    8288.647    6-2    R2e(2.5)
  8286.427    8288.705    6-2    R2f(2.5)
  8288.568    8290.846    6-2    R1f(2.5)
  8288.637    8290.915    6-2    R1e(2.5)
  8290.479    8292.758    6-2    R2e(6.5)
  8290.558    8292.837    6-2    R2f(6.5)
  8290.585    8292.864    6-2    R1e(7.5)
  8290.644    8292.923    6-2    R1f(7.5)
  8296.232    8298.512    6-2    R2e(1.5)
  8296.248    8298.528    6-2    R2f(1.5)
  8298.809    8301.090    5-1    P2f(9.5)
  8298.872    8301.153    6-2    R1f(1.5)
  8298.921    8301.202    6-2    R1e(1.5)
  8299.471    8301.752    5-1    P2e(9.5)
  8301.995    8304.277    6-2    R2e(7.5)
  8302.045    8304.327    6-2    R2f(7.5)
  8302.460    8304.742    6-2    R1e(8.5)
  8302.587    8304.869    6-2    R1f(8.5)
  8304.071    8306.354    5-1   P1e(10.5)
  8305.184    8307.467    5-1   P1f(10.5)
  8310.703    8312.987    6-2    R2f(0.5)
  8310.736    8313.020    6-2    R2e(0.5)
  8317.685    8319.971    6-2    R2e(8.5)
  8317.693    8319.979    6-2    R2f(8.5)
  8318.365    8320.651    6-2    R1e(9.5)
  8318.575    8320.861    6-2    R1f(9.5)
  8337.544    8339.836    6-2    R2f(9.5)
  8337.589    8339.881    6-2    R2e(9.5)
  8338.383    8340.675    6-2   R1e(10.5)
  8338.688    8340.980    6-2   R1f(10.5)
  8342.944    8345.237    6-2    Q2f(0.5)
  8343.122    8345.415    6-2    Q2e(0.5)
  8344.575    8346.868    6-2    Q1f(1.5)
  8344.630    8346.924    6-2    Q1e(1.5)
  8349.773    8352.068    6-2    Q2f(1.5)
  8349.923    8352.218    6-2    Q2e(1.5)
  8352.764    8355.060    6-2    Q1f(2.5)
  8352.967    8355.263    6-2    Q1e(2.5)
  8360.404    8362.702    5-1   P2f(10.5)
  8361.206    8363.504    5-1   P2e(10.5)
  8364.490    8366.789    6-2    Q1f(3.5)
  8364.952    8367.251    6-2    Q1e(3.5)
  8365.150    8367.449    5-1   P1e(11.5)
  8366.437    8368.736    5-1   P1f(11.5)
  8379.903    8382.206    6-2    Q1f(4.5)
  8380.737    8383.040    6-2    Q1e(4.5)
  8382.347    8384.651    6-2    P2e(1.5)
  8382.436    8384.740    6-2    P2f(1.5)
  8399.120    8401.428    6-2    P1e(2.5)
  8399.219    8401.527    6-2    P1f(2.5)
  8415.208    8417.521    6-2    P2e(2.5)
  8415.254    8417.567    6-2    P2f(2.5)
  8426.386    8428.702    5-1   P2f(11.5)
  8427.338    8429.654    5-1   P2e(11.5)
  8430.079    8432.396    6-2    P1e(3.5)
  8430.270    8432.587    6-2    P1f(3.5)
  8430.698    8433.015    5-1   P1e(12.5)
  8432.171    8434.488    5-1   P1f(12.5)
  8452.239    8454.562    6-2    P2f(3.5)
  8452.261    8454.584    6-2    P2e(3.5)
  8465.208    8467.534    6-2    P1e(4.5)
  8465.509    8467.835    6-2    P1f(4.5)
  8493.336    8495.670    6-2    P2f(4.5)
  8493.443    8495.777    6-2    P2e(4.5)
  8496.908    8499.243    5-1   P2f(12.5)
  8498.020    8500.355    5-1   P2e(12.5)
  8500.853    8503.189    5-1   P1e(13.5)
  8502.523    8504.859    5-1   P1f(13.5)
  8504.628    8506.965    6-2    P1e(5.5)
  8505.054    8507.391    6-2    P1f(5.5)
  8538.574    8540.920    6-2    P2f(5.5)
  8538.780    8541.126    6-2    P2e(5.5)
  8548.428    8550.777    6-2    P1e(6.5)
  8548.989    8551.338    6-2    P1f(6.5)
  8572.138    8574.493    5-1   P2f(13.5)
  8573.491    8575.846    5-1   P2e(13.5)
  8575.771    8578.127    5-1   P1e(14.5)
  8577.647    8580.004    5-1   P1f(14.5)
  8588.037    8590.396    6-2    P2f(6.5)
  8588.353    8590.712    6-2    P2e(6.5)
  8596.686    8599.048    6-2    P1e(7.5)
  8597.394    8599.756    6-2    P1f(7.5)
  8641.841    8644.215    6-2    P2f(7.5)
  8642.277    8644.651    6-2    P2e(7.5)
  8652.257    8654.634    5-1   P2f(14.5)
  8653.716    8656.093    5-1   P2e(14.5)
  8655.624    8658.002    5-1   P1e(15.5)
  8657.714    8660.092    5-1   P1f(15.5)
  8700.118    8702.508    6-2    P2f(8.5)
  8700.685    8703.075    6-2    P2e(8.5)
  8706.932    8709.323    6-2    P1e(9.5)
  8707.972    8710.364    6-2    P1f(9.5)
  8737.466    8739.866    5-1   P2f(15.5)
  8739.107    8741.507    5-1   P2e(15.5)
  8740.603    8743.004    5-1   P1e(16.5)
  8742.913    8745.314    5-1   P1f(16.5)
  8758.690    8761.095    7-3    R1f(4.5)
  8758.736    8761.142    7-3    R1e(4.5)
  8760.255    8762.661    7-3    R1f(5.5)
  8760.265    8762.671    7-3    R1e(5.5)
  8761.282    8763.688    7-3    R1f(3.5)
  8761.346    8763.752    7-3    R1e(3.5)
  8761.552    8763.958    7-3    R2e(3.5)
  8761.646    8764.052    7-3    R2f(3.5)
  8763.017    8765.424    6-2    P2f(9.5)
  8763.725    8766.132    6-2    P2e(9.5)
  8766.062    8768.469    7-3    R1e(6.5)
  8766.105    8768.513    7-3    R1f(6.5)
  8766.367    8768.775    7-3    R2e(2.5)
  8766.434    8768.842    7-3    R2f(2.5)
  8767.880    8770.288    7-3    R1f(2.5)
  8767.944    8770.352    7-3    R1e(2.5)
  8769.136    8771.544    6-2   P1e(10.5)
  8770.362    8772.771    6-2   P1f(10.5)
  8776.197    8778.607    7-3    R2e(1.5)
  8776.220    8778.630    7-3    R2f(1.5)
  8776.238    8778.648    7-3    R1e(7.5)
  8776.349    8778.759    7-3    R1f(7.5)
  8778.309    8780.720    7-3    R1f(1.5)
  8778.357    8780.768    7-3    R1e(1.5)
  8790.896    8793.310    7-3    R1e(8.5)
  8791.091    8793.505    7-3    R1f(8.5)
  8791.170    8793.584    7-3    R2f(0.5)
  8791.201    8793.615    7-3    R2e(0.5)
  8810.139    8812.558    7-3    R1e(9.5)
  8810.433    8812.852    7-3    R1f(9.5)
  8825.355    8827.779    7-3    Q2f(0.5)
  8825.540    8827.964    7-3    Q2e(0.5)
  8827.068    8829.492    7-3    Q1f(1.5)
  8827.124    8829.548    7-3    Q1e(1.5)
  8830.698    8833.123    6-2   P2f(10.5)
  8830.922    8833.347    5-1   P1e(17.5)
  8831.559    8833.984    6-2   P2e(10.5)
  8832.836    8835.262    7-3    Q2f(1.5)
  8833.152    8835.578    7-3    Q2e(1.5)
  8833.454    8835.880    5-1   P1f(17.5)
  8836.232    8838.658    6-2   P1e(11.5)
  8836.334    8838.761    7-3    Q1f(2.5)
  8836.541    8838.968    7-3    Q1e(2.5)
  8837.659    8840.086    6-2   P1f(11.5)
  8845.251    8847.680    7-3    Q2f(2.5)
  8845.603    8848.032    7-3    Q2e(2.5)
  8849.582    8852.012    7-3    Q1f(3.5)
  8850.055    8852.485    7-3    Q1e(3.5)
  8862.480    8864.914    7-3    Q2f(3.5)
  8862.754    8865.188    7-3    Q2e(3.5)
  8866.983    8869.418    7-3    Q1f(4.5)
  8867.533    8869.968    7-3    P2e(1.5)
  8867.633    8870.068    7-3    P2f(1.5)
  8867.841    8870.276    7-3    Q1e(4.5)
  8885.798    8888.238    7-3    P1e(2.5)
  8885.902    8888.342    7-3    P1f(2.5)
  8903.085    8905.530    7-3    P2e(2.5)
  8903.144    8905.589    7-3    P2f(2.5)
  8903.336    8905.781    6-2   P2f(11.5)
  8904.363    8906.808    6-2   P2e(11.5)
  8908.375    8910.821    6-2   P1e(12.5)
  8910.018    8912.464    6-2   P1f(12.5)
  8919.533    8921.982    7-3    P1e(3.5)
  8919.736    8922.185    7-3    P1f(3.5)
  8926.817    8929.268    5-1   P1e(18.5)
  8929.566    8932.018    5-1   P1f(18.5)
  8943.389    8945.844    7-3    P2f(3.5)
  8943.401    8945.856    7-3    P2e(3.5)
  8949.487    8951.944    6-2    P1e(8.5)
  8950.355    8952.812    6-2    P1f(8.5)
  8957.922    8960.381    7-3    P1e(4.5)
  8958.246    8960.705    7-3    P1f(4.5)
  8981.124    8983.590    6-2   P2f(12.5)
  8982.327    8984.793    6-2   P2e(12.5)
  8985.739    8988.206    6-2   P1e(13.5)
  8987.611    8990.078    6-2   P1f(13.5)
  8988.314    8990.782    7-3    P2f(4.5)
  8988.417    8990.885    7-3    P2e(4.5)
  9001.115    9003.586    7-3    P1e(5.5)
  9001.577    9004.048    7-3    P1f(5.5)
  9037.952    9040.433    7-3    P2f(5.5)
  9038.162    9040.643    7-3    P2e(5.5)
  9049.232    9051.716    7-3    P1e(6.5)
  9049.845    9052.329    7-3    P1f(6.5)
  9092.398    9094.894    7-3    P2f(6.5)
  9092.728    9095.224    7-3    P2e(6.5)
  9102.380    9104.879    7-3    P1e(7.5)
  9103.158    9105.657    7-3    P1f(7.5)
  9151.785    9154.297    7-3    P2f(7.5)
  9152.247    9154.759    7-3    P2e(7.5)
  9161.275    9163.789    7-3    P1f(8.5)
  9216.275    9218.804    7-3    P1e(8.5)
  9216.275    9218.804    7-3    P2f(8.5)
  9216.881    9219.411    7-3    P2e(8.5)
  9224.246    9226.778    7-3    P1e(9.5)
  9225.398    9227.930    7-3    P1f(9.5)
  9305.982    9308.536    8-4    R1f(4.5)
  9306.009    9308.563    8-4    R1e(4.5)
  9307.345    9309.899    8-4    R1f(3.5)
  9307.398    9309.952    8-4    R1e(3.5)
  9308.998    9311.552    8-4    R2e(3.5)
  9309.110    9311.664    8-4    R2f(3.5)
  9310.701    9313.256    8-4    R2e(4.5)
  9310.822    9313.377    8-4    R2f(4.5)
  9312.861    9315.416    8-4    R2e(2.5)
  9312.944    9315.500    8-4    R2f(2.5)
  9313.316    9315.872    8-4    R1f(2.5)
  9313.375    9315.931    8-4    R1e(2.5)
  9317.663    9320.220    8-4    R1e(6.5)
  9317.753    9320.310    8-4    R1f(6.5)
  9317.878    9320.435    8-4    R2e(5.5)
  9317.988    9320.545    8-4    R2f(5.5)
  9322.431    9324.989    8-4    R2e(1.5)
  9322.467    9325.025    8-4    R2f(1.5)
  9323.706    9326.264    8-4    R1f(1.5)
  9323.752    9326.310    8-4    R1e(1.5)
  9330.493    9333.053    8-4    R2e(6.5)
  9330.574    9333.134    8-4    R2f(6.5)
  9330.999    9333.559    8-4    R1e(7.5)
  9331.178    9333.738    8-4    R1f(7.5)
  9337.842    9340.404    8-4    R2f(0.5)
  9337.866    9340.428    8-4    R2e(0.5)
  9374.223    9376.795    8-4    Q2f(0.5)
  9374.414    9376.986    8-4    Q2e(0.5)
  9375.933    9378.506    8-4    Q1f(1.5)
  9375.989    9378.562    8-4    Q1e(1.5)
  9382.747    9385.321    8-4    Q2f(1.5)
  9383.075    9385.650    8-4    Q2e(1.5)
  9386.603    9389.178    8-4    Q1f(2.5)
  9386.813    9389.389    8-4    Q1e(2.5)
  9401.322    9403.901    8-4    Q1e(3.5)
  9401.841    9404.421    8-4    Q1f(3.5)
  9419.672    9422.256    8-4    P2e(1.5)
  9419.786    9422.370    8-4    P2f(1.5)
  9439.596    9442.186    8-4    P1e(2.5)
  9439.704    9442.294    8-4    P1f(2.5)
  9458.490    9461.085    8-4    P2f(2.5)
  9458.566    9461.161    8-4    P2e(2.5)
  9476.748    9479.348    8-4    P1e(3.5)
  9476.912    9479.512    8-4    P1f(3.5)
  9502.812    9505.419    8-4    P2f(3.5)
  9502.818    9505.425    8-4    P2e(3.5)
  9519.182    9521.793    8-4    P1e(4.5)
  9519.527    9522.138    8-4    P1f(4.5)
  9552.490    9555.110    8-4    P2f(4.5)
  9552.527    9555.147    8-4    P2e(4.5)
  9567.090    9569.714    8-4    P1e(5.5)
  9567.588    9570.212    8-4    P1f(5.5)
  9607.625    9610.260    8-4    P2f(5.5)
  9607.828    9610.463    8-4    P2e(5.5)
  9620.630    9623.269    8-4    P1e(6.5)
  9621.300    9623.939    8-4    P1f(6.5)
  9668.337    9670.989    8-4    P2f(6.5)
  9668.670    9671.322    8-4    P2e(6.5)
  9674.165    9676.818    3-0    R2e(3.5)
  9674.304    9676.957    3-0    R2f(3.5)
  9679.953    9682.608    8-4    P1e(7.5)
  9679.953    9682.608    8-4    P1e(7.5)
  9680.810    9683.465    8-4    P1f(7.5)
  9682.152    9684.808    3-0    R1f(3.5)
  9682.338    9684.994    3-0    R1e(3.5)
  9690.464    9693.122    3-0    R2e(2.5)
  9690.546    9693.204    3-0    R2f(2.5)
  9699.263    9701.923    3-0    R1e(2.5)
  9699.263    9701.923    3-0    R1f(2.5)
  9711.702    9714.366    3-0    R2e(1.5)
  9711.711    9714.375    3-0    R2f(1.5)
  9719.782    9722.448    3-0    R1f(1.5)
  9719.880    9722.546    3-0    R1e(1.5)
  9734.798    9737.468    8-4    P2f(7.5)
  9735.269    9737.939    8-4    P2e(7.5)
  9738.056    9740.727    3-0    R2f(0.5)
  9738.124    9740.795    3-0    R2e(0.5)
  9745.215    9747.888    8-4    P1e(8.5)
  9746.280    9748.953    8-4    P1f(8.5)
  9789.275    9791.960    3-0    Q2f(0.5)
  9789.557    9792.242    3-0    Q2e(0.5)
  9791.071    9793.756    3-0    Q1f(1.5)
  9791.166    9793.851    3-0    Q1e(1.5)
  9799.497    9802.184    3-0    Q1f(2.5)
  9799.843    9802.530    3-0    Q1e(2.5)
  9811.596    9814.287    3-0    Q1f(3.5)
  9812.373    9815.064    3-0    Q1e(3.5)
  9816.597    9819.289    8-4    P1e(9.5)
  9817.885    9820.577    8-4    P1f(9.5)
  9848.425    9851.126    3-0    P2e(2.5)
  9848.545    9851.246    3-0    P2f(2.5)
  9872.060    9874.767    3-0    P1e(2.5)
  9872.214    9874.921    3-0    P1f(2.5)
  9894.724    9897.437    3-0    P2f(2.5)
  9894.766    9897.479    3-0    P2e(2.5)
  9914.531    9917.249    3-0    P1e(3.5)
  9914.814    9917.533    3-0    P1f(3.5)
  9941.627    9944.353    9-5    R1f(3.5)
  9941.660    9944.386    9-5    R1e(3.5)
  9942.189    9944.915    9-5    R1e(4.5)
  9942.197    9944.923    9-5    R1f(4.5)
  9945.230    9947.957    3-0    P2f(3.5)
  9945.296    9948.023    3-0    P2e(3.5)
  9946.485    9949.212    9-5    R1f(2.5)
  9946.534    9949.261    9-5    R1e(2.5)
  9947.691    9950.418    9-5    R2e(2.5)
  9947.802    9950.530    9-5    R2f(2.5)
  9948.327    9951.055    9-5    R1e(5.5)
  9948.402    9951.130    9-5    R1f(5.5)
  9956.556    9959.286    9-5    R1f(1.5)
  9956.598    9959.328    9-5    R1e(1.5)
  9956.625    9959.355    9-5    R2e(1.5)
  9956.684    9959.414    9-5    R2f(1.5)
  9961.716    9964.447    3-0    P1e(4.5)
  9962.146    9964.877    3-0    P1f(4.5)
  9972.345    9975.079    9-5    R2f(0.5)
  9972.353    9975.087    9-5    R2e(0.5)
  9999.901   10002.643    3-0    P2f(4.5)
 10000.090   10002.832    3-0    P2e(4.5)
 10011.245   10013.990    9-5    Q2f(0.5)
 10011.439   10014.184    9-5    Q2e(0.5)
 10012.782   10015.527    9-5    Q1f(1.5)
 10012.838   10015.583    9-5    Q1e(1.5)
 10013.693   10016.438    3-0    P1e(5.5)
 10014.280   10017.026    3-0    P1f(5.5)
 10025.346   10028.095    9-5    Q1f(2.5)
 10025.557   10028.306    9-5    Q1e(2.5)
 10043.270   10046.023    9-5    Q1f(3.5)
 10043.756   10046.510    9-5    Q1e(3.5)
 10060.649   10063.407    9-5    P2e(1.5)
 10060.780   10063.538    9-5    P2f(1.5)
 10082.411   10085.175    9-5    P1e(2.5)
 10082.524   10085.288    9-5    P1f(2.5)
 10103.554   10106.324    9-5    P2e(2.5)
 10103.655   10106.425    9-5    P2f(2.5)
 10123.894   10126.669    9-5    P1e(3.5)
 10124.123   10126.898    9-5    P1f(3.5)
 10152.956   10155.739    9-5    P2f(3.5)
 10152.990   10155.773    9-5    P2e(3.5)
 10171.512   10174.300    9-5    P1f(4.5)
 10171.512   10174.300    9-5    P1f(4.5)
 10171.888   10174.676    9-5    P1f(4.5)
 10180.993   10183.784    4-1    R2e(2.5)
 10181.078   10183.869    4-1    R2f(2.5)
 10189.632   10192.425    4-1    R1f(2.5)
 10189.782   10192.575    4-1    R1e(2.5)
 10203.043   10205.840    4-1    R2e(1.5)
 10203.053   10205.850    4-1    R2f(1.5)
 10208.747   10211.545    9-5    P2f(4.5)
 10208.810   10211.608    9-5    P2e(4.5)
 10211.034   10213.833    4-1    R1f(1.5)
 10211.102   10213.901    4-1    R1e(1.5)
 10225.509   10228.312    9-5    P1e(5.5)
 10226.059   10228.862    9-5    P1f(5.5)
 10230.624   10233.428    4-1    R2f(0.5)
 10230.695   10233.499    4-1    R2e(0.5)
 10270.990   10273.805    9-5    P2f(5.5)
 10271.175   10273.990    9-5    P2e(5.5)
 10284.622   10287.441    4-1    Q2f(0.5)
 10284.917   10287.736    4-1    Q2e(0.5)
 10286.590   10289.409    4-1    Q1f(1.5)
 10286.686   10289.505    4-1    Q1e(1.5)
 10295.848   10298.670    4-1    Q1f(2.5)
 10296.200   10299.022    4-1    Q1e(2.5)
 10347.227   10350.063    4-1    P2e(1.5)
 10347.357   10350.193    4-1    P2f(1.5)
 10372.798   10375.641    4-1    P1e(2.5)
 10372.956   10375.799    4-1    P1f(2.5)
 10396.512   10399.361    4-1    P2e(2.5)
 10396.564   10399.413    4-1    P2f(2.5)
 10418.216   10421.071    4-1    P1e(3.5)
 10418.511   10421.366    4-1    P1f(3.5)
 10450.471   10453.335    4-1    P2f(3.5)
 10450.531   10453.395    4-1    P2e(3.5)
 10468.735   10471.604    4-1    P1e(4.5)
 10469.188   10472.057    4-1    P1f(4.5)
