#Ion        Wavelength[A]           gamma         f_value
# note: these are vacuum wavelength 
CoII 1572.6489 4.16e7 0.0120
CoII 1552.7624 3.21e7 0.0116
CoII 1480.9546 4.65e7 0.0119
CoII 1466.2120 3.780E+07 3.100E-02
CoII 1424.7866 3.58e7 0.0109
NiI 2320.7468 6.94E8 0.685
NiI 2311.669 4.700E8 0.376500
NiII 1751.9157 3.70E8 0.027700
NiII 1741.5531 5.00E8 0.042700
NiII 1709.6042 4.35e8 0.0324
NiII 1703.4050 5.000E+08 6.000E-03
NiII 1502.148 3.932E7 0.01330
NiII 1467.756 2.30E7 0.00990
NiII 1467.259 2.93E7 0.00630
NiII 1454.842 1.02E8 0.0323
NiII 1393.324 3.47E7 0.0101
NiII 1370.1310 4.100E+08 7.690E-02
NiII 1317.2170 4.205E+08 7.786E-02
CuII 1367.9509 6.23e8 0.179
CuII 1358.7730 7.200E+08 3.803E-01
ZnII 2062.6640 3.860E+08 2.560E-01
ZnII 2026.1360 4.070E+08 4.890E-01
GeII 1602.4863 9.906E+08 1.436E-01
GaII 1414.4020 1.970E+09 1.800E+00
