lambda_air(A),lambda_vac(A),FWHM(A),Flux(10^-16^erg/s/cm2/{AA})
3450.667,3451.656,0.0548,0.429
3451.2871,3452.276,0.073,0.6117
3451.5217,3452.511,0.0847,0.4124
3451.7139,3452.703,0.0936,0.5823
3452.7397,3453.729,0.1281,0.5831
3453.0037,3453.993,0.0664,0.3845
3453.2395,3454.229,0.0859,0.5882
3454.4653,3455.455,0.1575,0.3894
3454.7275,3455.717,0.0703,0.6239
3454.9609,3455.951,0.0882,0.4137
3455.2227,3456.213,0.0961,0.49
3456.0886,3457.079,0.0424,0.4243
3456.9675,3457.958,0.0852,0.3218
3457.1738,3458.164,0.1385,0.5542
3457.408,3458.398,0.0892,0.4457
3457.6812,3458.672,0.0804,0.6245
3460.1028,3461.094,0.2176,0.4369
3460.3381,3461.329,0.1177,0.3356
3460.6125,3461.604,0.0872,0.5217
3464.0422,3465.034,0.0963,0.4554
3477.9597,3478.955,0.0696,0.4251
3478.2671,3479.263,0.1113,0.4093
3478.7383,3479.734,0.0902,0.5215
3479.0293,3480.025,0.1433,0.3563
3479.3569,3480.353,0.1109,0.4658
3479.6067,3480.603,0.0998,0.5429
3479.9597,3480.956,0.0437,0.5344
3480.157,3481.153,0.1028,0.4848
3480.4023,3481.399,0.0758,0.4183
3480.583,3481.579,0.0796,0.3654
3480.7522,3481.749,0.0894,0.4629
3481.01,3482.006,0.1103,0.5099
3481.1401,3482.137,0.1231,0.656
3481.3738,3482.37,0.1055,0.3922
3482.2146,3483.211,0.1034,0.505
3482.4629,3483.46,0.1485,0.7425
3482.71,3483.707,0.1353,0.4518
3482.9104,3483.907,0.0864,0.7
3483.4875,3484.485,0.0898,0.4955
3483.7803,3484.777,0.1044,0.5045
3484.7002,3485.698,0.0796,0.7743
3484.9419,3485.939,0.0946,0.7304
3485.1995,3486.197,0.1028,1.0831
3486.5403,3487.538,0.0596,0.5124
3486.8477,3487.846,0.0968,0.5462
3487.5161,3488.514,0.107,0.6044
3487.7505,3488.749,0.0808,0.5256
3488.0151,3489.013,0.0987,0.7972
3488.2932,3489.292,0.1269,0.4269
3488.6162,3489.615,0.0857,0.549
3490.5796,3491.579,0.0749,0.6454
3491.3826,3492.382,0.1151,0.6303
3492.676,3493.675,0.0715,0.5495
3494.95,3495.95,0.1892,0.6429
3497.3875,3498.388,0.1069,0.4456
3499.7742,3500.775,0.0664,0.5312
3502.3574,3503.359,0.0671,0.4328
3502.762,3503.764,0.0802,0.4612
3504.8059,3505.808,0.074,0.3661
3505.3176,3506.32,0.0989,0.2802
3505.7222,3506.725,0.0924,0.4121
3508.9167,3509.92,0.0606,0.4595
3509.8506,3510.854,0.0785,0.4153
3512.1223,3513.127,0.0997,0.4126
3512.9646,3513.969,0.0469,0.317
3517.2117,3518.217,0.0575,0.6437
3520.8459,3521.853,0.0428,0.4469
3540.8975,3541.909,0.0743,0.447
3542.4226,3543.435,0.0782,0.6872
3542.8613,3543.874,0.0858,0.5629
3544.2063,3545.219,0.0876,0.7279
3544.6099,3545.623,0.0963,0.6176
3545.145,3546.158,0.0577,0.6185
3545.5459,3546.559,0.0479,0.4382
3546.2122,3547.225,0.0904,0.6672
3546.6741,3547.687,0.0876,0.7796
3547.2131,3548.227,0.0756,0.4008
3547.9438,3548.957,0.1099,0.6262
3548.8411,3549.855,0.057,0.423
3549.3625,3550.377,0.118,0.4912
3550.3833,3551.398,0.0947,0.5313
3550.9326,3551.947,0.1129,0.5527
3552.6755,3553.69,0.0697,0.5679
3553.1797,3554.195,0.0632,0.4789
3553.9717,3554.987,0.1089,0.6065
3554.374,3555.389,0.065,0.48
3554.5872,3555.603,0.1079,0.5168
3554.7742,3555.79,0.0625,0.3943
3555.1289,3556.144,0.1185,0.2724
3555.5847,3556.6,0.1062,0.5059
3555.8848,3556.901,0.0872,0.3755
3556.0823,3557.098,0.101,0.74
3556.6646,3557.681,0.0881,0.4655
3556.884,3557.9,0.1068,0.2481
3557.842,3558.858,0.084,0.6167
3558.1123,3559.129,0.0745,0.506
3558.3586,3559.375,0.1162,0.5874
3558.905,3559.921,0.0663,0.4479
3560.6448,3561.662,0.1033,0.6511
3560.8909,3561.908,0.0748,0.3544
3561.156,3562.173,0.0984,0.5898
3561.3008,3562.318,0.0844,0.4763
3561.5713,3562.588,0.0883,0.3093
3563.1582,3564.176,0.0695,0.3615
3563.9211,3564.939,0.3538,0.494
3564.2039,3565.222,0.1598,0.4365
3564.4971,3565.515,0.0806,0.4654
3566.5933,3567.612,0.0999,0.3155
3567.8232,3568.842,0.1328,0.3978
3567.9158,3568.935,0.0616,0.3282
3568.3718,3569.391,0.1078,0.4059
3577.7803,3578.802,0.088,0.3339
3582.7427,3583.765,0.0934,0.3265
3615.3508,3616.382,0.0813,0.3989
3615.6157,3616.647,0.0807,0.4255
3616.0425,3617.074,0.0892,0.5282
3616.624,3617.655,0.0702,0.3827
3617.0732,3618.105,0.0843,0.309
3617.3591,3618.391,0.0887,0.4226
3617.8555,3618.887,0.1087,0.3312
3618.2593,3619.291,0.0872,0.4458
3618.7988,3619.831,0.1038,0.2993
3619.3157,3620.348,0.091,0.3782
3619.8936,3620.926,0.094,0.3677
3620.5349,3621.567,0.0803,0.4015
3621.1628,3622.195,0.0734,0.4972
3621.9097,3622.942,0.075,0.3736
3622.5818,3623.615,0.0659,0.4852
3623.4382,3624.471,0.0629,0.3678
3624.1643,3625.198,0.0832,0.4631
3625.1311,3626.165,0.0044,0.3228
3625.9011,3626.935,0.0727,0.3726
