lambda_air(A)  lambda_vac(A)  FWHM(A)  Flux(10^-16^erg/s/cm2/{AA})
  5865.4673    5867.0930  0.1448    0.8422
  5866.0039    5867.6300  0.1585    0.5305
  5867.2676    5868.8940  0.1355    0.3166
  5867.5522    5869.1790  0.1428    1.0304
  5868.3135    5869.9400  0.1538    0.4540
  5869.2783    5870.9050  0.1402    0.3284
  5869.4819    5871.1090  0.1769    0.2300
  5872.7358    5874.3640  0.1522    0.4221
  5874.9370    5876.5650  0.0831    0.1830
  5875.3892    5877.0180  0.1470    0.1970
  5887.1353    5888.7670  0.1920    0.3209
  5888.1924    5889.8240  0.1400    2.2385
  5889.9590    5891.5910  0.1518   11.2867
  5894.4717    5896.1050  0.1937    0.6972
  5895.9321    5897.5660  0.1499    6.7611
  5903.3706    5905.0070  0.1627    0.2212
  5903.5771    5905.2130  0.1211    0.1899
  5906.7051    5908.3420  0.1569    0.5899
  5915.3076    5916.9470  0.1529    1.8282
  5924.7295    5926.3710  0.1546    0.9016
  5932.8643    5934.5080  0.2002    1.8154
  5945.9360    5947.5830  0.1498    0.8174
  5953.3589    5955.0080  0.1931    1.0486
  5953.4897    5955.1390  0.2054    1.0745
  5970.2822    5971.9360  0.1542    0.6083
  5976.9619    5978.6180  0.1410    0.6896
  5977.2070    5978.8630  0.1469    0.6501
  5997.7651    5999.4260  0.1953    0.3455
  6003.7510    6005.4140  0.1504    0.3993
  6004.0859    6005.7490  0.1514    0.3823
  6028.3755    6030.0450  0.2566    0.1804
  6028.5088    6030.1780  0.1291    0.1841
  6033.7905    6035.4610  0.1257    0.2747
  6034.2192    6035.8900  0.1570    0.2135
  6067.1567    6068.8370  0.1255    0.1783
  6067.6831    6069.3630  0.1593    0.1741
  6099.4585    6101.1470  0.1793    0.1492
  6099.7695    6101.4580  0.1479    0.1462
  6103.9312    6105.6210  0.1288    0.1586
  6104.5850    6106.2750  0.1413    0.1570
  6136.5508    6138.2490  0.0681    0.1472
  6136.7798    6138.4780  0.1727    0.2248
  6138.9849    6140.6840  0.2524    0.1601
  6139.4668    6141.1660  0.1594    0.4040
  6140.0938    6141.7930  0.0584    0.1476
  6140.5542    6142.2540  0.0428    0.1242
  6143.3799    6145.0800  0.1598    0.2021
  6144.4819    6146.1820  0.1592    0.4931
  6150.9390    6152.6410  0.1567    0.2495
  6155.9878    6157.6910  0.1578    0.1569
  6156.7739    6158.4780  0.1500    0.2211
  6158.1890    6159.8930  0.1836    0.2666
  6169.5361    6171.2430  0.2274    0.1840
  6170.6460    6172.3540  0.1468    1.1814
  6176.2949    6178.0040  0.2481    0.3336
  6184.3096    6186.0210  0.4889    0.1529
  6192.9438    6194.6570  0.1823    0.3464
  6202.7280    6204.4440  0.1699    0.9862
  6213.0674    6214.7860  0.1547    0.4548
  6221.7759    6223.4970  0.2358    0.8318
  6234.3042    6236.0290  0.1453    1.4175
  6235.6836    6237.4090  0.1526    0.9273
  6235.9653    6237.6900  0.1609    1.8141
  6236.9941    6238.7190  0.1661    0.4200
  6237.4194    6239.1450  0.1528    0.6502
  6240.2407    6241.9670  0.2065    0.5015
  6241.6987    6243.4250  0.1464    0.6263
  6243.5649    6245.2920  0.1849    0.4854
  6243.7280    6245.4550  0.2612    0.4550
  6247.3672    6249.0950  0.2305    0.1684
  6248.0205    6249.7490  0.1875    0.2414
  6256.9502    6258.6810  0.1974    0.4147
  6257.9702    6259.7010  0.1523    3.5662
  6259.1895    6260.9210  0.2683    0.1637
