lambda_air(A)  lambda_vac(A)  FWHM(A)  Flux(10^-16^erg/s/cm2/{AA})
  6261.7549    6263.4870  0.1797    0.2517
  6262.7471    6264.4790  0.3370    0.1399
  6262.8452    6264.5780  0.1710    0.1450
  6265.2231    6266.9560  0.1923    1.1453
  6268.2793    6270.0130  0.1356    0.2844
  6268.5396    6270.2730  0.1586    0.2512
  6278.0962    6279.8330  0.1685    0.5680
  6287.4429    6289.1820  0.1585    2.9576
  6289.0479    6290.7870  0.1443    0.1657
  6289.4380    6291.1770  0.1843    0.1364
  6290.3550    6292.0950  0.1249    0.1392
  6295.9155    6297.6570  0.1327    0.1814
  6296.2949    6298.0360  0.1406    0.1535
  6297.9116    6299.6530  0.1635    1.2702
  6300.3086    6302.0510  0.1625  125.9882
  6301.2817    6303.0240  0.6637    0.1822
  6306.9336    6308.6780  0.2193    3.0754
  6308.5566    6310.3010  0.1885    0.1536
  6321.4087    6323.1570  0.1537    1.2701
  6329.7842    6331.5340  0.2084    1.5794
  6329.9277    6331.6780  0.2427    1.6699
  6342.8687    6344.6220  0.1247    0.1289
  6343.2407    6344.9950  0.1310    0.1306
  6348.5449    6350.3000  0.1535    0.8962
  6356.1846    6357.9420  0.1617    1.1168
  6356.4526    6358.2100  0.1592    1.0526
  6361.3022    6363.0610  0.1884    0.1363
  6363.7827    6365.5420  0.1641   41.0899
  6379.3218    6381.0850  0.1927    0.5185
  6386.2505    6388.0160  0.1525    0.6283
  6386.6230    6388.3890  0.1506    0.5954
  6413.7734    6415.5460  0.2571    0.2257
  6413.8892    6415.6620  0.2428    0.2024
  6420.0757    6421.8500  0.1454    0.3493
  6420.5601    6422.3350  0.1613    0.3252
  6425.7524    6427.5280  0.0941    0.1340
  6451.9526    6453.7360  0.1119    0.1771
  6452.2310    6454.0140  0.1498    0.1640
  6455.9927    6457.7770  0.1659    0.1243
  6457.7412    6459.5260  0.1457    0.2096
  6458.3457    6460.1310  0.1915    0.1912
  6463.5298    6465.3160  0.1698    0.7228
  6463.8008    6465.5870  0.1767    0.3495
  6464.8960    6466.6830  0.1516    0.2100
  6465.9468    6467.7340  0.1827    1.3541
  6466.9248    6468.7120  0.1407    0.2056
  6470.1528    6471.9410  0.1596    0.5783
  6470.9849    6472.7730  0.1651    1.6028
  6477.9214    6479.7110  0.1580    0.6328
  6494.1201    6495.9150  0.1272    0.1031
  6494.4170    6496.2120  0.1455    0.1222
  6497.5312    6499.3270  0.2208    0.4350
  6498.7368    6500.5320  0.1574    4.2749
  6499.3955    6501.1910  0.2018    0.1459
  6500.1323    6501.9280  0.1407    0.1494
  6502.6094    6504.4060  0.1722    0.1396
  6502.7207    6504.5170  0.2591    0.1437
  6504.9990    6506.7960  0.2512    1.0114
  6513.8545    6515.6540  0.1514    0.2833
  6514.1514    6515.9510  0.1541    0.2727
  6522.4326    6524.2350  0.1662    0.9594
  6533.0498    6534.8550  0.1734    3.2824
  6540.2812    6542.0880  0.1268    0.1345
  6540.7568    6542.5640  0.2281    0.1229
  6544.0356    6545.8430  0.1626    1.3781
  6546.0698    6547.8780  0.3734    0.1222
  6552.8174    6554.6280  0.1124    0.1268
  6553.6260    6555.4360  0.2391    2.6673
  6555.9072    6557.7180  0.1826    0.1030
  6558.2837    6560.0950  0.4355    0.0992
  6562.7598    6564.5730  0.2261    1.1632
  6568.7891    6570.6040  0.1590    1.1619
  6577.2017    6579.0180  0.1906    1.5694
  6577.3760    6579.1930  0.2003    1.4609
  6578.1045    6579.9220  0.1398    0.1330
  6580.4399    6582.2580  0.3126    0.1343
  6583.7236    6585.5420  0.2576    0.1841
  6584.4878    6586.3070  0.2616    0.1384
  6596.6445    6598.4660  0.1754    0.6829
  6603.9956    6605.8200  0.1565    0.8587
  6604.2837    6606.1080  0.1729    0.7822
  6620.4541    6622.2820  0.1216    0.1128
  6627.6318    6629.4620  0.2520    0.3092
  6634.0483    6635.8800  0.1624    0.4170
  6634.4336    6636.2660  0.1622    0.3880
  6650.8125    6652.6490  0.1736    0.1224
  6661.6851    6663.5250  0.3978    0.1568
  6661.8638    6663.7030  0.2334    0.1623
  6667.3857    6669.2270  0.1695    0.2242
  6667.8667    6669.7080  0.1774    0.1841
  6699.0552    6700.9050  0.2198    0.1403
  6699.2856    6701.1350  0.1838    0.1210
  6699.6548    6701.5040  0.1841    0.1290
  6704.1064    6705.9570  0.1642    0.1711
  6704.6763    6706.5270  0.1656    0.1460
