lambda_air(A)  lambda_vac(A)  FWHM(A)  Flux(10^-16^erg/s/cm2/{AA})
  8922.7998    8925.2500  0.1900    0.1251
  8924.0527    8926.5030  0.2337    0.2843
  8926.1875    8928.6380  0.2037    0.2061
  8926.7793    8929.2300  0.2329    0.3589
  8927.4131    8929.8640  0.1792    0.1130
  8928.0928    8930.5440  0.2505    0.7385
  8929.0957    8931.5470  0.2609    0.1164
  8929.6973    8932.1490  0.2298    0.2277
  8930.1201    8932.5720  0.2262    0.1364
  8931.8105    8934.2630  0.1866    0.1249
  8933.1084    8935.5610  0.2617    0.1484
  8933.9609    8936.4140  0.2187    0.1715
  8934.3271    8936.7800  0.1981    0.1544
  8934.7627    8937.2160  0.2464    0.1270
  8935.3633    8937.8160  0.1911    0.2118
  8936.2568    8938.7100  0.2825    0.2588
  8937.9551    8940.4090  0.1863    0.1388
  8939.3887    8941.8430  0.4387    0.1286
  8939.7871    8942.2410  0.2457    0.1364
  8941.4248    8943.8800  0.2186    0.1225
  8943.4082    8945.8640  0.2262   16.6944
  8945.1709    8947.6270  0.1870    0.1109
  8947.5557    8950.0120  0.2020    0.1307
  8955.5400    8957.9990  0.2349    0.1131
  8957.9512    8960.4110  0.2531   19.3162
  8958.2539    8960.7130  0.2400   19.2912
  8960.1611    8962.6210  0.2462    0.1606
  8962.9893    8965.4500  0.2991    0.1041
  8963.3525    8965.8130  0.1776    0.1359
  8965.0059    8967.4670  0.2674    0.1714
  8968.5107    8970.9730  0.2541    0.1630
  8969.4092    8971.8720  0.3033    0.1042
  8970.0977    8972.5600  0.2130    0.1898
  8971.2324    8973.6950  0.3736    0.6119
  8973.8682    8976.3320  0.2042    0.1598
  8975.4395    8977.9040  0.2766    0.1674
  8977.5586    8980.0230  0.4239    0.0987
  8977.9941    8980.4590  0.2913    0.1786
  8978.5488    8981.0140  0.2013    0.1258
  8979.4844    8981.9500  0.2286    0.2566
  8981.1113    8983.5770  0.2166    0.6937
  8982.3320    8984.7980  0.2119    0.4108
  8985.4141    8987.8810  0.2948    0.1154
  8985.7842    8988.2510  0.2219    0.7310
  8986.9551    8989.4220  0.2196    0.1322
  8987.6357    8990.1030  0.1956    0.1798
  8988.3838    8990.8510  0.2406   10.3731
  8991.4648    8993.9330  0.3496    0.1024
  8992.3096    8994.7780  0.3482    0.4739
  8992.5420    8995.0110  0.2103    0.5532
  8993.0693    8995.5380  0.5100    0.1011
  8997.9102    9000.3800  0.1824    0.0927
  9001.1348    9003.6060  0.2152   11.9922
  9001.5928    9004.0640  0.2149   12.0589
  9020.9346    9023.4110  0.2030    0.3393
  9021.2695    9023.7460  0.2164    0.3545
  9025.9658    9028.4440  0.1367    0.1003
  9027.5508    9030.0290  0.2064    0.1598
  9028.5059    9030.9840  0.1716    0.3075
  9028.9951    9031.4740  0.1985    0.1597
  9030.2490    9032.7280  0.2510    0.1448
