lambda_air(A)  lambda_vac(A)  FWHM(A)  Flux(10^-16^erg/s/cm2/{AA})
  4861.3203    4862.6780  0.1448    0.3118
  4882.6499    4884.0140  0.2741    0.1472
  4883.0737    4884.4370  0.1221    0.1843
  4905.0894    4906.4590  0.1135    0.2608
  4910.1543    4911.5250  0.1360    0.1434
  4918.4058    4919.7790  0.1161    0.1780
  4931.4146    4932.7910  0.0833    0.1379
  4931.8706    4933.2470  0.0948    0.2183
  4936.4136    4937.7910  0.1106    0.1492
  4937.8062    4939.1840  0.1571    0.2783
  4947.9053    4949.2860  0.1165    0.1601
  4953.3481    4954.7300  0.1667    0.1717
  4953.4849    4954.8670  0.1121    0.2106
  4963.2427    4964.6280  0.1224    0.1544
  4966.4927    4967.8790  0.1269    0.2027
  4975.4053    4976.7940  0.0975    0.1735
  4977.5449    4978.9340  0.1090    0.1736
  4992.3281    4993.7210  0.0885    0.1761
  4995.5752    4996.9690  0.0981    0.1481
  4995.9541    4997.3480  0.1549    0.1365
  5004.4351    5005.8310  0.1224    0.1555
  5078.8462    5080.2620  0.1100    0.1412
  5091.0156    5092.4350  0.1009    0.1471
  5187.4033    5188.8480  0.1110    0.2708
  5187.7563    5189.2010  0.1209    0.2707
  5189.2603    5190.7050  0.1832    0.1586
  5189.4976    5190.9430  0.1165    0.1809
  5197.9282    5199.3760  0.1219    4.7512
  5200.2856    5201.7340  0.1211    2.7566
  5202.9790    5204.4280  0.1200    0.5274
  5208.7935    5210.2440  0.1373    0.2311
  5217.3906    5218.8430  0.1501    0.1975
  5224.1450    5225.5990  0.1290    0.4948
  5232.1528    5233.6090  0.1299    0.2646
  5238.7520    5240.2100  0.1629    0.5508
  5249.8804    5251.3420  0.1447    0.2430
  5254.2749    5255.7370  0.1016    0.1418
  5256.0454    5257.5080  0.1750    0.3341
  5256.1328    5257.5960  0.1991    0.3466
  5256.7769    5258.2400  0.1305    0.1508
  5261.2046    5262.6690  0.2607    0.1413
  5275.0732    5276.5410  0.1316    0.2359
  5276.1431    5277.6110  0.1125    0.2391
  5276.3550    5277.8230  0.1256    0.2164
  5294.0454    5295.5180  0.1348    0.1667
  5298.5010    5299.9750  0.1396    0.2220
  5299.1597    5300.6340  0.1245    0.1812
  5299.4575    5300.9320  0.1104    0.1919
  5306.5884    5308.0650  0.1669    0.1672
  5311.7803    5313.2580  0.1945    0.1470
  5313.2417    5314.7200  0.1845    0.2648
  5320.4951    5321.9750  0.1767    0.1476
  5324.4429    5325.9240  0.1536    0.1434
  5325.1694    5326.6510  0.0814    0.1515
  5325.5093    5326.9910  0.1284    0.1398
  5329.6812    5331.1640  0.1119    0.1608
  5330.4224    5331.9050  0.6644    0.1734
  5330.7290    5332.2120  0.1693    0.1942
  5344.7725    5346.2590  0.1514    0.1285
  5349.9253    5351.4130  0.1268    0.1525
  5350.1484    5351.6360  0.1015    0.1440
  5354.1812    5355.6700  0.1190    0.1413
  5354.6440    5356.1330  0.1189    0.1414
  5502.4004    5503.9290  0.1126    0.1504
  5542.2358    5543.7750  0.1332    0.4510
  5543.4458    5544.9850  0.1349    0.1511
  5544.5923    5546.1320  0.1303    0.4431
  5544.8945    5546.4350  0.1387    0.2168
  5549.3433    5550.8840  0.1338    0.2109
  5562.9663    5564.5110  0.1789    0.1480
  5564.0010    5565.5460  0.1248    0.8658
  5569.5312    5571.0780  0.1633    0.2911
  5577.3467    5578.8950  0.1268  154.4809
  5581.2188    5582.7690  0.1439    0.2908
  5589.1362    5590.6880  0.1400    0.7199
  5597.7939    5599.3480  0.1360    0.3732
  5605.1475    5606.7040  0.1876    0.7273
  5617.1709    5618.7300  0.1291    0.3292
  5623.7832    5625.3440  0.1908    0.4253
  5623.8994    5625.4610  0.1580    0.4122
  5639.3037    5640.8690  0.1637    0.2450
  5645.1680    5646.7350  0.1296    0.2942
  5645.3999    5646.9670  0.1642    0.2758
  5664.1958    5665.7680  0.4314    0.1722
  5669.3882    5670.9610  0.1591    0.2018
  5669.6860    5671.2590  0.1139    0.1785
  5696.4946    5698.0750  0.1773    0.1565
  5696.8516    5698.4320  0.1410    0.1590
