lambda_air(A)  lambda_vac(A)  FWHM(A)  Flux(10^-16^erg/s/cm2/{AA})
  6704.1045    6705.9550  0.1619    0.1729
  6704.7002    6706.5510  0.1637    0.1489
  6707.9019    6709.7540  0.1149    0.1031
  6710.1748    6712.0270  0.1673    0.1036
  6711.1401    6712.9930  0.0606    0.1083
  6713.8735    6715.7270  0.1969    0.1085
  6714.7993    6716.6530  0.2216    0.1143
  6715.8081    6717.6620  0.0722    0.1139
  6716.9751    6718.8290  0.0558    0.1168
  6718.9707    6720.8260  0.2827    0.1004
  6720.8530    6722.7080  0.3920    0.0979
  6722.7974    6724.6530  0.1040    0.1058
  6723.6650    6725.5210  0.2985    0.0978
  6728.8916    6730.7490  0.1884    0.0960
  6730.1270    6731.9850  0.2267    0.1000
  6739.6987    6741.5590  0.3708    0.1279
  6740.0830    6741.9440  0.1608    0.1226
  6741.8594    6743.7200  0.2048    0.0994
  6742.9131    6744.7740  0.2024    0.0977
  6744.2295    6746.0910  0.1868    0.1330
  6744.9360    6746.7980  0.1701    0.1279
  6746.9268    6748.7890  0.1638    0.1030
  6769.0488    6770.9170  0.0980    0.0939
  6783.7720    6785.6440  0.1440    0.1285
  6784.2568    6786.1290  0.1746    0.1102
  6787.8696    6789.7430  0.1565    0.1480
  6788.7129    6790.5870  0.1699    0.1302
  6803.1436    6805.0210  0.1186    0.1192
  6818.7607    6820.6420  0.2139    0.1087
  6827.4688    6829.3530  0.1595    1.7680
  6828.4824    6830.3670  0.1562    0.8257
  6829.5083    6831.3930  0.1700    3.1619
  6829.9307    6831.8150  0.1715    0.8072
  6831.3560    6833.2410  0.1559    0.1318
  6831.9551    6833.8400  0.2091    0.1129
  6832.6670    6834.5520  0.1953    0.4084
  6834.0215    6835.9070  0.1666    1.3086
  6834.4458    6836.3320  0.1653    3.2604
  6835.1006    6836.9870  0.2024    0.1327
  6835.7720    6837.6580  0.1887    0.1041
  6836.0796    6837.9660  0.1523    0.1348
  6839.6665    6841.5540  0.1762    0.1911
  6840.0649    6841.9520  0.1920    0.2523
  6841.9634    6843.8510  0.1537    1.3152
  6850.0352    6851.9250  0.1594    0.1616
  6850.8071    6852.6970  0.2244    0.1806
  6862.6963    6864.5900  0.2181    0.8605
