   1  3142.6768  0.0730     1.5474     
   2  3143.3757  0.0637     1.0259     
   3  3143.6824  0.1236     1.0973     
   4  3144.0857  0.0954     1.9536     
   5  3145.5142  0.0835     2.2297     
   6  3145.9248  0.0654     1.5056     
   7  3147.2148  0.0414     0.8647     
   8  3147.7874  0.0909     1.7371     
   9  3147.9854  0.0659     0.9111     
  10  3148.1995  0.0656     1.5384     
  11  3150.4873  0.1228     1.3100     
  12  3150.6965  0.0717     0.8876     
  13  3150.9114  0.0818     1.5038     
  14  3153.6616  0.1632     0.7770     
  15  3153.8359  0.0598     0.8071     
  16  3154.0789  0.0875     1.2577     
  17  3164.0518  0.0450     1.0627     
  18  3169.6096  0.0923     0.8234     
  19  3171.6594  0.0898     0.7946     
  20  3209.4827  0.0819     1.0830     
  21  3209.7666  0.2848     0.9140     
  22  3210.7603  0.0604     0.8823     
  23  3211.7520  0.1043     1.2754     
  24  3211.9795  0.0822     0.7092     
  25  3212.1833  0.0889     1.3915     
  26  3213.6025  0.0809     1.3191     
  27  3213.8083  0.0684     0.7631     
  28  3214.0347  0.0739     1.1345     
  29  3215.8848  0.0901     1.0595     
  30  3216.0754  0.0856     0.6274     
  31  3216.3118  0.0831     1.1190     
  32  3218.5747  0.0820     0.7330     
  33  3218.6396  0.0758     0.5710     
  34  3218.7898  0.0667     0.5156     
  35  3219.0349  0.0747     1.1194     
  36  3221.7217  0.0648     0.7810     
  37  3221.8943  0.2224     0.4868     
  38  3222.2017  0.1282     0.7080     
  39  3229.8706  0.0638     0.6844     
  40  3236.3047  0.0613     0.4956     
  41  3236.5024  0.0617     0.5435     
  42  3238.8171  0.0850     0.4280     
  43  3258.5100  0.1086     0.4183     
  44  3258.7251  0.0663     0.4301     
  45  3258.8679  0.0788     0.6943     
  46  3260.3518  0.0506     0.4108     
  47  3260.5237  0.0861     0.6425     
  48  3260.9724  0.0660     0.3609     
  49  3262.2676  0.0645     0.7400     
  50  3262.4739  0.0604     0.5582     
  51  3262.6953  0.1066     0.8325     
  52  3264.9661  0.0803     0.6853     
  53  3265.1616  0.1072     0.5978     
  54  3265.3821  0.0627     0.8601     
  55  3267.0652  0.0867     0.4853     
  56  3268.6230  0.0726     1.0508     
  57  3271.8921  0.2694     0.7337     
  58  3276.1152  0.0825     0.8237     
  59  3276.3347  0.0825     0.8605     
  60  3280.8835  0.0572     0.4580     
  61  3281.0012  0.0480     0.2921     
  62  3281.1355  0.1279     0.5400     
  63  3281.3984  0.2275     0.4233     
  64  3281.5955  0.1052     0.3313     
  65  3281.7988  0.0610     0.2585     
  66  3285.7478  0.0865     0.6926     
  67  3286.7048  0.1076     0.6203     
  68  3286.9451  0.0674     0.3322     
  69  3287.1746  0.0598     0.5324     
  70  3288.5786  0.0784     0.5357     
  71  3288.8167  0.0774     0.3730     
  72  3289.0286  0.0648     0.5543     
  73  3290.8779  0.0665     0.5813     
  74  3292.8406  0.0332     0.5525     
  75  3293.1267  0.0591     0.7015     
  76  3295.2378  0.1207     0.9348     
  77  3295.4561  0.0852     0.6977     
  78  3295.6560  0.0892     0.9480     
  79  3297.1917  0.0945     1.2762     
  80  3297.6321  0.1131     1.0439     
  81  3299.6143  0.0970     0.9744     
  82  3300.0620  0.0907     1.0439     
  83  3302.5200  0.2969     0.6458     
  84  3302.7017  0.0848     0.5814     
  85  3302.9604  0.0736     0.9886     
  86  3305.8552  0.0922     0.7340     
  87  3306.0774  0.0678     0.5801     
  88  3306.3438  0.0775     0.8402     
